Dialogue_ID,Text_Type,Sequence,Choice_ID,Text_Content,Next_Dialogue_ID,Stat_Changes,Favor_Changes,Note
D_Kyle_L3_001,Dialogue,2,,루아 님이 어렸을 때부터 지켜보았습니다.,,,,
D_Kyle_L3_001,Dialogue,3,,그때는 이렇게 커질 줄 몰랐는데...,,,,
D_Kyle_L3_001,Dialogue,4,,정말 대견스럽습니다.,,,,
D_Kyle_L3_001,Choice,1,1,카일이 지켜줘서 고마워요,D_Kyle_L3_001_Result1,,카일 +15,
D_Kyle_L3_001,Choice,2,2,앞으로도 지켜봐줘요,D_Kyle_L3_001_Result2,,카일 +18,
D_Kyle_L3_001,Result,1,,호감도 +15,,,카일 +15,선택지 1 결과
D_Kyle_L3_001,Result,2,,호감도 +18,,,카일 +18,선택지 2 결과
## 이벤트 2: 여왕에 대한 이야기,,,,,,,,
D_Kyle_L3_002,Dialogue,1,,루아 님은 여왕이 되는 것에 대해 어떻게 생각하십니까?,,,,
D_Kyle_L3_002,Dialogue,2,,의무로 여겨지고 계시다면...,,,,
D_Kyle_L3_002,Dialogue,3,,그것만은 안 됩니다.,,,,
D_Kyle_L3_002,Dialogue,4,,스스로 선택하셔야 합니다.,,,,
D_Kyle_L3_002,Choice,1,1,생각이 많아요,D_Kyle_L3_002_Result1,스트레스 -5,카일 +10,
D_Kyle_L3_002,Choice,2,2,카일은 어떻게 생각해요?,D_Kyle_L3_002_Result2,,카일 +15,
D_Kyle_L3_002,Result,1,,호감도 +10 스트레스 -5,,,카일 +10,선택지 1 결과
D_Kyle_L3_002,Result,2,,호감도 +15,,,카일 +15,선택지 2 결과
# 카일 - 레벨 4 (61~80): 충성,,,,,,,,
## 이벤트 1: 카일의 비밀,,,,,,,,
D_Kyle_L4_001,Dialogue,1,,루아 님... 사실 전...,,,,
D_Kyle_L4_001,Dialogue,2,,전왕궁에서 쫓겨날 뻔했던 적이 있습니다.,,,,
D_Kyle_L4_001,Dialogue,3,,그때 루아 님을 처음 만났지요...,,,,
D_Kyle_L4_001,Dialogue,4,,루아 님이 제 인생을 바꿔주셨습니다.,,,,
D_Kyle_L4_001,Choice,1,1,무슨 일이었어요?,D_Kyle_L4_001_Result1,,카일 +12,
D_Kyle_L4_001,Choice,2,2,지금은 괜찮아요?,D_Kyle_L4_001_Result2,,카일 +18,
D_Kyle_L4_001,Result,1,,호감도 +12,,,카일 +12,선택지 1 결과
D_Kyle_L4_001,Result,2,,호감도 +18,,,카일 +18,선택지 2 결과
## 이벤트 2: 평생의 맹세,,,,,,,,
D_Kyle_L4_002,Dialogue,1,,루아 님 평생 루아 님을 지켜주겠다고 맹세합니다.,,,,
D_Kyle_L4_002,Dialogue,2,,어떤 선택를 하시든...,,,,
D_Kyle_L4_002,Dialogue,3,,어디에 있시든...,,,,
D_Kyle_L4_002,Dialogue,4,,제 생명이 다하는 그날까지...,,,,
D_Kyle_L4_002,Choice,1,1,고마워요 카일,D_Kyle_L4_002_Result1,,카일 +15,
D_Kyle_L4_002,Choice,2,2,나도 카일을 지킬게요,D_Kyle_L4_002_Result2,도덕성 +5,카일 +20,
D_Kyle_L4_002,Result,1,,호감도 +15,,,카일 +15,선택지 1 결과
D_Kyle_L4_002,Result,2,,호감도 +20 도덕성 +5,,,카일 +20,선택지 2 결과
# 카일 - 레벨 5 (81~100): 절대 충성,,,,,,,,
## 이벤트 1: 최후의 보호,,,,,,,,
D_Kyle_L5_001,Dialogue,1,,루아 님 18세가 되셨군요...,,,,
D_Kyle_L5_001,Dialogue,2,,이제 선택의 시간입니다.,,,,
D_Kyle_L5_001,Dialogue,3,,전 루아 님의 선택를 존중합니다.,,,,
D_Kyle_L5_001,Dialogue,4,,그리고... 루아 님을 따르겠습니다.,,,,
D_Kyle_L5_001,Dialogue,5,,어떤 미래라도 함께하겠습니다.,,,,
D_Kyle_L5_001,Choice,1,1,정말 고마워요,D_Kyle_L5_001_Result1,,카일 +25,
D_Kyle_L5_001,Choice,2,2,앞으로도 잘 부탁해요,D_Kyle_L5_001_Result2,특별엔딩조건,카일 +30,특별 엔딩 조건 충족
D_Kyle_L5_001,Result,1,,호감도 +25,,,카일 +25,선택지 1 결과
D_Kyle_L5_001,Result,2,,호감도 +30 특별 엔딩 조건 충족,,,카일 +30,선택지 2 결과
# 리안 - 레벨 3 (50~60): 특별한 인연,,,,,,,,
## 이벤트 1: 첫 만남 (루아 13세),,,,,,,,
D_Lian_L3_001,Dialogue,1,어... 너도... 보이는구나?,,,,
D_Lian_L3_001,Dialogue,2,,아 미안해! 갑자기 이상한 소리를 해서...,,,,
D_Lian_L3_001,Dialogue,3,,하지만 정말이야. 너는... 평범한 사람이 아니지?,,,,
D_Lian_L3_001,Dialogue,4,,나는 리안이야. 그리고 너는...,,,,
D_Lian_L3_001,Dialogue,5,...레몬 냄새가 나는구나.,,,,
D_Lian_L3_001,Choice,1,1,너는 누구야?,D_Lian_L3_001_Result1,스트레스 +5,리안 +5,
D_Lian_L3_001,Choice,2,2,나를 볼 수 있는 거야?,D_Lian_L3_001_Result2,,리안 +10,
D_Lian_L3_001,Result,1,,호감도 +5 스트레스 +5,,,리안 +5,선택지 1 결과
D_Lian_L3_001,Result,2,,호감도 +10,,,리안 +10,선택지 2 결과
## 이벤트 2: 비밀의 공유,,,,,,,,
D_Lian_L3_002,Dialogue,1,,나는 어릴 때부터... 너 같은 존재를 볼 수 있었어.,,,,
D_Lian_L3_002,Dialogue,2,,주변에는 말 못했어. 이상하게 볼 것 같아서...,,,,
D_Lian_L3_002,Dialogue,3,,너도 혼자 힘들었겠다...,,,,
D_Lian_L3_002,Dialogue,4,,이제 혼자가 아니야.,,,,
D_Lian_L3_002,Choice,1,1,고마워,D_Lian_L3_002_Result1,스트레스 -5,리안 +8,
D_Lian_L3_002,Choice,2,2,나도 그랬어,D_Lian_L3_002_Result2,,리안 +12,
D_Lian_L3_002,Result,1,,호감도 +8 스트레스 -5,,,리안 +8,선택지 1 결과
D_Lian_L3_002,Result,2,,호감도 +12,,,리안 +12,선택지 2 결과
## 이벤트 3: 인간 세계의 이야기,,,,,,,,
D_Lian_L3_003,Dialogue,1,,너는... 인간 세계에서 어떻게 지내?,,,,
D_Lian_L3_003,Dialogue,2,,익숙해졌어? 아니면 아직도 어색해?,,,,
D_Lian_L3_003,Dialogue,3,,내가 도움이 될 수 있는 게 있으면 말해줘.,,,,
D_Lian_L3_003,Dialogue,4,,나도... 특별한 존재들의 세계에 대해 알고 싶어.,,,,
D_Lian_L3_003,Choice,1,1,인간 세계는 복잡해,D_Lian_L3_003_Result1,지능 +3,리안 +8,
D_Lian_L3_003,Choice,2,2,리안에게 물어볼게 있어,D_Lian_L3_003_Result2,,리안 +10,
D_Lian_L3_003,Result,1,,호감도 +8 지능 +3,,,리안 +8,선택지 1 결과
D_Lian_L3_003,Result,2,,호감도 +10,,,리안 +10,선택지 2 결과
# 리안 - 레벨 4 (61~80): 특별한 친구,,,,,,,,
## 이벤트 1: 능력의 비밀,,,,,,,,
D_Lian_L4_001,Dialogue,1,,사실... 내가 특별한 능력을 가진 이유를 알아냈어.,,,,
D_Lian_L4_001,Dialogue,2,,내 조상 중에... 디저트 왕국과 인연이 있었대.,,,,
D_Lian_L4_001,Dialogue,3,,그래서 나도 너희를 볼 수 있는 거야.,,,,
D_Lian_L4_001,Dialogue,4,...너랑 만난 건 운명인가 봐.,,,,
D_Lian_L4_001,Choice,1,1,정말? 대단하다!,D_Lian_L4_001_Result1,,리안 +10,
D_Lian_L4_001,Choice,2,2,그럼 우리는... 연결되어 있는 거네?,D_Lian_L4_001_Result2,특별플래그,리안 +15,히든 엔딩 관련 플래그
D_Lian_L4_001,Result,1,,호감도 +10,,,리안 +10,선택지 1 결과
D_Lian_L4_001,Result,2,,호감도 +15 특별 플래그,,,리안 +15,선택지 2 결과
## 이벤트 2: 솔직한 고백,,,,,,,,
D_Lian_L4_002,Dialogue,1,,루아... 솔직히 말하면...,,,,
D_Lian_L4_002,Dialogue,2,,처음엔 궁금해서 다가갔어.,,,,
D_Lian_L4_002,Dialogue,3,,하지만 지금은... 네가 좋아.,,,,
D_Lian_L4_002,Dialogue,4,,인간이든 디저트든 상관없이... 너라는 존재가 좋아.,,,,
D_Lian_L4_002,Choice,1,1,나도 리안이 좋아,D_Lian_L4_002_Result1,,리안 +18,
D_Lian_L4_002,Choice,2,2,...고마워,D_Lian_L4_002_Result2,,리안 +12,
D_Lian_L4_002,Result,1,,호감도 +18,,,리안 +18,선택지 1 결과
D_Lian_L4_002,Result,2,,호감도 +12,,,리안 +12,선택지 2 결과
# 리안 - 레벨 5 (81~100): 영원한 인연,,,,,,,,
## 이벤트 1: 두 세계의 연결자,,,,,,,,
D_Lian_L5_001,Dialogue,1,,루아 네가 18세가 되면 선택해야겠지...,,,,
D_Lian_L5_001,Dialogue,2,,여왕이 될 것인지 다른 길을 갈 것인지...,,,,
D_Lian_L5_001,Dialogue,3,,하지만 기억해.,,,,
D_Lian_L5_001,Dialogue,4,,어떤 선택를 하든... 나는 네 편이야.,,,,
D_Lian_L5_001,Dialogue,5,,인간 세계와 디저트 왕국의 다리가 되어줄게.,,,,
D_Lian_L5_001,Choice,1,1,리안이 있어서 다행이야,D_Lian_L5_001_Result1,,리안 +20,
D_Lian_L5_001,Choice,2,2,우리가 함께 새로운 시대를 만들자,D_Lian_L5_001_Result2,히든엔딩조건,리안 +25,히든 엔딩 조건 충족
D_Lian_L5_001,Result,1,,호감도 +20,,,리안 +20,선택지 1 결과
D_Lian_L5_001,Result,2,,호감도 +25 히든 엔딩 조건,,,리안 +25,선택지 2 결과
## 이벤트 2: 마지막 약속,,,,,,,,
D_Lian_L5_002,Dialogue,1,,루아... 12년 동안 정말 고생 많았어.,,,,
D_Lian_L5_002,Dialogue,2,,너는 정말 멋지게 자랐어.,,,,
D_Lian_L5_002,Dialogue,3,,이제 너의 선택이야.,,,,
D_Lian_L5_002,Dialogue,4,,그리고... 나도 내 선택를 할 거야.,,,,
D_Lian_L5_002,Dialogue,5,,너와 함께하는 미래를 선택할게.,,,,
D_Lian_L5_002,Choice,1,1,고마워 리안,D_Lian_L5_002_Result1,,리안 +20,
D_Lian_L5_002,Choice,2,2,나도 리안과 함께할래,D_Lian_L5_002_Result2,히든엔딩확정,리안 +30,히든 엔딩 확정
D_Lian_L5_002,Result,1,,호감도 +20,,,리안 +20,선택지 1 결과
D_Lian_L5_002,Result,2,,호감도 +30 히든 엔딩 확정,,,리안 +30,선택지 2 결과



